FunctionAn,Category,Function,Gene.abbreviation,Corresponding.KO
Function472,Cysteine and methionine metabolism,M00034+05,Methionine salvage pathway,K08963
Function473,Cysteine and methionine metabolism,M00034+06,Methionine salvage pathway,(K16054 or K08964 and (K09880 or K08965 and K08966))
Function474,Cysteine and methionine metabolism,M00034+07,Methionine salvage pathway,K08967
Function475,Cysteine and methionine metabolism,M00034+08,Methionine salvage pathway,(K00815 or K08969 or K23977 or K00832 or K00838)
Function476,Cysteine and methionine metabolism,M00035+01,Methionine degradation,K00789
Function477,Cysteine and methionine metabolism,M00035+02,Methionine degradation,(K00552 or K00558 or K17398 or K17399)
Function478,Cysteine and methionine metabolism,M00035+03,Methionine degradation,K01251
Function479,Cysteine and methionine metabolism,M00035+04,Methionine degradation,(K01697 or K10150)
Function480,Branched-chain amino acid metabolism,M00036+01,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",K00826
Function481,Branched-chain amino acid metabolism,M00036+02,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",((K00166 and K00167 or K11381) and K09699 and K00382)
Function482,Branched-chain amino acid metabolism,M00036+03,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",(K00253 or K00249)
Function483,Branched-chain amino acid metabolism,M00036+04,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",(K01968 and K01969)
Function484,Branched-chain amino acid metabolism,M00036+05,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",(K05607 or K13766)
Function485,Branched-chain amino acid metabolism,M00036+06,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",K01640
Function486,Aromatic amino acid metabolism,M00037+01,"Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin",K00502
Function487,Aromatic amino acid metabolism,M00037+02,"Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin",K01593
Function488,Aromatic amino acid metabolism,M00037+03,"Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin",K00669
Function489,Aromatic amino acid metabolism,M00037+04,"Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin",K00543
Function490,Aromatic amino acid metabolism,M00038+01,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",(K00453 or K00463)
Function491,Aromatic amino acid metabolism,M00038+02,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",(K01432 or K14263 or K07130)
Function492,Aromatic amino acid metabolism,M00038+03,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",K00486
Function493,Aromatic amino acid metabolism,M00038+04,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",K01556
Function494,Aromatic amino acid metabolism,M00038+05,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",K00452
Function495,Aromatic amino acid metabolism,M00038+06,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",K03392
Function496,Aromatic amino acid metabolism,M00038+07,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",(K10217 or K23234)
Function497,Biosynthesis of phytochemical compounds,M00039+01,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",(K10775 or K13064)
Function498,Biosynthesis of phytochemical compounds,M00039+02,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",K00487
Function499,Biosynthesis of phytochemical compounds,M00039+03,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",K01904
Function500,Biosynthesis of phytochemical compounds,M00039+04,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",K13065
Function501,Biosynthesis of phytochemical compounds,M00039+05,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",K09754
Function502,Biosynthesis of phytochemical compounds,M00039+06,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",K00588
Function503,Biosynthesis of phytochemical compounds,M00039+07,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",K09753
Function504,Biosynthesis of phytochemical compounds,M00039+08,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",K09755
Function505,Biosynthesis of phytochemical compounds,M00039+09,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",K13066
Function506,Biosynthesis of phytochemical compounds,M00039+10,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",(K00083 or K22395)
Function507,Aromatic amino acid metabolism,M00040+01,"Tyrosine biosynthesis, chorismate => arogenate => tyrosine",(K01850 or K04092 or K14170)
Function508,Aromatic amino acid metabolism,M00040+02,"Tyrosine biosynthesis, chorismate => arogenate => tyrosine",(K00832 or K15849)
Function509,Aromatic amino acid metabolism,M00040+03,"Tyrosine biosynthesis, chorismate => arogenate => tyrosine",(K00220 or K24018 or K15227)
Function510,Aromatic amino acid metabolism,M00042+01,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",(K00505 or K00501)
Function511,Aromatic amino acid metabolism,M00042+02,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",K01593
Function512,Aromatic amino acid metabolism,M00042+03,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",K00503
Function513,Aromatic amino acid metabolism,M00042+04,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",K00553
Function514,Aromatic amino acid metabolism,M00043+01,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",K00431
Function515,Aromatic amino acid metabolism,M00044+01,"Tyrosine degradation, tyrosine => homogentisate",(K00815 or K00838 or K00832 or K03334)
Function516,Aromatic amino acid metabolism,M00044+02,"Tyrosine degradation, tyrosine => homogentisate",K00457
Function517,Aromatic amino acid metabolism,M00044+03,"Tyrosine degradation, tyrosine => homogentisate",K00451
Function518,Aromatic amino acid metabolism,M00044+04,"Tyrosine degradation, tyrosine => homogentisate",K01800
Function519,Aromatic amino acid metabolism,M00044+05,"Tyrosine degradation, tyrosine => homogentisate",(K01555 or K16171)
Function520,Histidine metabolism,M00045+01,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",K01745
Function521,Histidine metabolism,M00045+02,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",K01712
Function522,Histidine metabolism,M00045+03,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",K01468
Function523,Histidine metabolism,M00045+04,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",(K01479 or K00603 or K13990 or (K05603 and K01458))
Function524,Pyrimidine metabolism,M00046+01,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",(K00207 or K17722 and K17723)
Function525,Pyrimidine metabolism,M00046+02,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",K01464
Function526,Pyrimidine metabolism,M00046+03,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",(K01431 or K06016)
Function527,Arginine and proline metabolism,M00047+01,Creatine pathway,K00613
Function528,Arginine and proline metabolism,M00047+02,Creatine pathway,K00542
Function529,Arginine and proline metabolism,M00047+03,Creatine pathway,K00933
Function530,Purine metabolism,M00048+01,"De novo purine biosynthesis, PRPP + glutamine => IMP",K00764
Function531,Purine metabolism,M00048+02,"De novo purine biosynthesis, PRPP + glutamine => IMP",(K01945 or K11787 or K11788 or K13713)
Function532,Purine metabolism,M00048+03,"De novo purine biosynthesis, PRPP + glutamine => IMP",(K00601 or K11175 or K08289 or K11787 or K01492)
Function533,Purine metabolism,M00048+04,"De novo purine biosynthesis, PRPP + glutamine => IMP",(K01952 or (K23269 and K23264 and K23265) or (K23270 and K23265))
Function534,Purine metabolism,M00048+05,"De novo purine biosynthesis, PRPP + glutamine => IMP",(K01933 or K11787 or K11788 and (K01587 or K11808 or K01589 and K01588))
Function535,Purine metabolism,M00048+06,"De novo purine biosynthesis, PRPP + glutamine => IMP",(K01923 or K01587 or K13713)
Function536,Purine metabolism,M00048+07,"De novo purine biosynthesis, PRPP + glutamine => IMP",K01756
Function537,Purine metabolism,M00048+08,"De novo purine biosynthesis, PRPP + glutamine => IMP",(K00602 or (K01492 or K06863 and K11176))
Function538,Purine metabolism,M00049+01,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",K01939
Function539,Purine metabolism,M00049+02,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",K01756
Function540,Purine metabolism,M00049+03,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",(K00939 or K18532 or K18533 or K00944)
Function541,Purine metabolism,M00049+04,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",K00940
Function542,Purine metabolism,M00050+01,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP",K00088
Function543,Purine metabolism,M00050+02,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP",K01951
Function544,Purine metabolism,M00050+03,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP",K00942
Function545,Purine metabolism,M00050+04,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP",(K00940 or K18533)
Function546,Pyrimidine metabolism,M00051+01,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP",(K11540 or (K11541 and K01465) or ((K01954 or K01955 and K01956) and (K00609 and K00610 or K00608) and K01465))
Function547,Pyrimidine metabolism,M00051+02,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP",(K00226 or K00254 or K17828)
Function548,Pyrimidine metabolism,M00051+03,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP",(K13421 or K00762 and K01591)
Function549,Pyrimidine metabolism,M00052+01,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",(K13800 or K13809 or K09903)
Function550,Pyrimidine metabolism,M00052+02,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",(K00940 or K18533)
Function551,Pyrimidine metabolism,M00052+03,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",K01937
Function552,Purine metabolism,M00053+01,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP",(K00525 and K00526 or K10807 and K10808)
Function553,Purine metabolism,M00053+02,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP",(K00940 or K18533)
Function554,Glycan biosynthesis,M00055+01,N-glycan precursor biosynthesis,K01001
Function555,Glycan biosynthesis,M00055+02,N-glycan precursor biosynthesis,(K07432 and K07441)
Function556,Glycan biosynthesis,M00055+03,N-glycan precursor biosynthesis,K03842
Function557,Glycan biosynthesis,M00055+04,N-glycan precursor biosynthesis,K03843
Function558,Glycan biosynthesis,M00055+05,N-glycan precursor biosynthesis,K03844
Function559,Glycan biosynthesis,M00055+06,N-glycan precursor biosynthesis,K03845
Function560,Glycan biosynthesis,M00055+07,N-glycan precursor biosynthesis,K03846
Function561,Glycan biosynthesis,M00055+08,N-glycan precursor biosynthesis,K03847
Function562,Glycan biosynthesis,M00055+09,N-glycan precursor biosynthesis,K03846
Function563,Glycan biosynthesis,M00055+10,N-glycan precursor biosynthesis,K00729
Function564,Glycan biosynthesis,M00055+11,N-glycan precursor biosynthesis,K03848
Function565,Glycan biosynthesis,M00055+12,N-glycan precursor biosynthesis,K03849
Function566,Glycan biosynthesis,M00055+13,N-glycan precursor biosynthesis,K03850
Function567,Glycan biosynthesis,M00056+01,"O-glycan biosynthesis, mucin type core",K00710
Function568,Glycan biosynthesis,M00056+02,"O-glycan biosynthesis, mucin type core",(K00731 or K09653)
Function569,Glycan biosynthesis,M00056+03,"O-glycan biosynthesis, mucin type core",(K00727 or K09662 or K09663)
Function570,Glycan biosynthesis,M00056+04,"O-glycan biosynthesis, mucin type core",K00739
Function571,Glycosaminoglycan metabolism,M00057+01,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide",K00771
Function572,Glycosaminoglycan metabolism,M00057+02,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide",K00733
Function573,Glycosaminoglycan metabolism,M00057+03,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide",K00734
Function574,Glycosaminoglycan metabolism,M00057+04,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide",K10158
Function575,Glycosaminoglycan metabolism,M00058+01,"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",K00746
Function576,Glycosaminoglycan metabolism,M00058+02,"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",(K13499 or K00747 or K03419)
Function577,Glycosaminoglycan metabolism,M00059+01,"Glycosaminoglycan biosynthesis, heparan sulfate backbone",(K02369 or K02370)
Function578,Glycosaminoglycan metabolism,M00059+02,"Glycosaminoglycan biosynthesis, heparan sulfate backbone",(K02366 or K02367)
Function579,Glycosaminoglycan metabolism,M00059+03,"Glycosaminoglycan biosynthesis, heparan sulfate backbone",(K02368 or K02370)
Function580,Glycosaminoglycan metabolism,M00059+04,"Glycosaminoglycan biosynthesis, heparan sulfate backbone",(K02576 or K02577 or K02578 or K02579)
Function581,Glycosaminoglycan metabolism,M00059+05,"Glycosaminoglycan biosynthesis, heparan sulfate backbone",K01793
Function582,Lipopolysaccharide metabolism,M00060+01,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",K00677
Function583,Lipopolysaccharide metabolism,M00060+02,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",K02535
Function584,Lipopolysaccharide metabolism,M00060+03,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",K02536
Function585,Lipopolysaccharide metabolism,M00060+04,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",(K03269 or K09949)
Function586,Lipopolysaccharide metabolism,M00060+05,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",K00748
Function587,Lipopolysaccharide metabolism,M00060+06,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",K00912
Function588,Lipopolysaccharide metabolism,M00060+07,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",K02527
Function589,Lipopolysaccharide metabolism,M00060+08,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",K02517
Function590,Lipopolysaccharide metabolism,M00060+09,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",K02560
Function591,Other carbohydrate metabolism,M00061+01,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",K01812
Function592,Other carbohydrate metabolism,M00061+02,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",K00040
Function593,Other carbohydrate metabolism,M00061+03,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",(K01686 or K08323)
Function594,Other carbohydrate metabolism,M00061+04,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",K00874
Function595,Other carbohydrate metabolism,M00061+05,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",(K01625 or K17463)
Function596,Lipopolysaccharide metabolism,M00063+01,CMP-KDO biosynthesis,K06041
Function597,Lipopolysaccharide metabolism,M00063+02,CMP-KDO biosynthesis,K01627
Function598,Lipopolysaccharide metabolism,M00063+03,CMP-KDO biosynthesis,K03270
Function599,Lipopolysaccharide metabolism,M00063+04,CMP-KDO biosynthesis,K00979
Function600,Lipopolysaccharide metabolism,M00064+01,ADP-L-glycero-D-manno-heptose biosynthesis,K03271
Function601,Lipopolysaccharide metabolism,M00064+02,ADP-L-glycero-D-manno-heptose biosynthesis,(K03272 or K21344)
Function602,Lipopolysaccharide metabolism,M00064+03,ADP-L-glycero-D-manno-heptose biosynthesis,K03273
Function603,Lipopolysaccharide metabolism,M00064+04,ADP-L-glycero-D-manno-heptose biosynthesis,(K03272 or K21345)
Function604,Lipopolysaccharide metabolism,M00064+05,ADP-L-glycero-D-manno-heptose biosynthesis,K03274
Function605,Glycan biosynthesis,M00065+01,"GPI-anchor biosynthesis, core oligosaccharide",(K03857 and K03859 and K03858 and K03861 and K03860 and (K11001 or K11002))
Function606,Glycan biosynthesis,M00065+02,"GPI-anchor biosynthesis, core oligosaccharide",K03434
Function607,Glycan biosynthesis,M00065+03,"GPI-anchor biosynthesis, core oligosaccharide",K05283
Function608,Glycan biosynthesis,M00065+04,"GPI-anchor biosynthesis, core oligosaccharide",(K05284 and K07541)
Function609,Glycan biosynthesis,M00065+05,"GPI-anchor biosynthesis, core oligosaccharide",K07542
Function610,Glycan biosynthesis,M00065+06,"GPI-anchor biosynthesis, core oligosaccharide",K05285
Function611,Glycan biosynthesis,M00065+07,"GPI-anchor biosynthesis, core oligosaccharide",K05286
Function612,Glycan biosynthesis,M00065+08,"GPI-anchor biosynthesis, core oligosaccharide",(K05288 and K05287)
Function613,Glycan biosynthesis,M00065+09,"GPI-anchor biosynthesis, core oligosaccharide",(K05310 and K05287)
Function614,Lipid metabolism,M00066+01,Lactosylceramide biosynthesis,K00720
Function615,Lipid metabolism,M00066+02,Lactosylceramide biosynthesis,(K07553 or K09905)
Function616,Lipid metabolism,M00067+01,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid",K04628
Function617,Lipid metabolism,M00067+02,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid",K01019
Function618,Glycan biosynthesis,M00068+01,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",K01988
Function619,Glycan biosynthesis,M00068+02,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",K00719
Function620,Glycan biosynthesis,M00069+01,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3",K03370
Function621,Glycan biosynthesis,M00069+02,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3",(K03371 or K03369)
Function622,Glycan biosynthesis,M00070+01,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer",K03766
Function623,Glycan biosynthesis,M00070+02,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer",(K07819 or K07820 or K03877)
Function624,Glycan biosynthesis,M00071+01,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer",K03766
Function625,Glycan biosynthesis,M00071+02,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer",(K07966 or K07967 or K07968 or K07969)
Function626,Glycan biosynthesis,M00072+01,N-glycosylation by oligosaccharyltransferase,K07151 and K12666 and K12667 and K12668 and K12669 and K12670
Function627,Glycan biosynthesis,M00073+01,N-glycan precursor trimming,K01228
Function628,Glycan biosynthesis,M00073+02,N-glycan precursor trimming,K05546
Function629,Glycan biosynthesis,M00073+03,N-glycan precursor trimming,K23741
Function630,Glycan biosynthesis,M00073+04,N-glycan precursor trimming,K01230
Function631,Glycan biosynthesis,M00074+01,"N-glycan biosynthesis, high-mannose type",K05546
Function632,Glycan biosynthesis,M00074+02,"N-glycan biosynthesis, high-mannose type",K23741
Function633,Glycan biosynthesis,M00074+03,"N-glycan biosynthesis, high-mannose type",K01230
Function634,Glycan biosynthesis,M00074+04,"N-glycan biosynthesis, high-mannose type",K05528
Function635,Glycan biosynthesis,M00074+05,"N-glycan biosynthesis, high-mannose type",K05529 and K05530
Function636,Glycan biosynthesis,M00074+06,"N-glycan biosynthesis, high-mannose type",K05529 and K05531 and K05532 and K05533 and K05534
Function637,Glycan biosynthesis,M00074+07,"N-glycan biosynthesis, high-mannose type",K05535
Function638,Glycan biosynthesis,M00075+01,"N-glycan biosynthesis, complex type",K01231
Function639,Glycan biosynthesis,M00075+02,"N-glycan biosynthesis, complex type",K00736
Function640,Glycosaminoglycan metabolism,M00076+01,Dermatan sulfate degradation,K01136
Function641,Glycosaminoglycan metabolism,M00076+02,Dermatan sulfate degradation,K01217
Function642,Glycosaminoglycan metabolism,M00076+03,Dermatan sulfate degradation,K01135
Function643,Glycosaminoglycan metabolism,M00076+04,Dermatan sulfate degradation,K01197
Function644,Glycosaminoglycan metabolism,M00076+05,Dermatan sulfate degradation,K01195
Function645,Glycosaminoglycan metabolism,M00077+01,Chondroitin sulfate degradation,K01135
Function646,Glycosaminoglycan metabolism,M00077+02,Chondroitin sulfate degradation,K01197
Function647,Glycosaminoglycan metabolism,M00077+03,Chondroitin sulfate degradation,K01195
Function648,Glycosaminoglycan metabolism,M00077+04,Chondroitin sulfate degradation,K01132
Function649,Glycosaminoglycan metabolism,M00078+01,Heparan sulfate degradation,(K07964 or K07965)
Function650,Glycosaminoglycan metabolism,M00078+02,Heparan sulfate degradation,K01136
Function651,Glycosaminoglycan metabolism,M00078+03,Heparan sulfate degradation,K01217
Function652,Glycosaminoglycan metabolism,M00078+04,Heparan sulfate degradation,K01565
Function653,Glycosaminoglycan metabolism,M00078+05,Heparan sulfate degradation,K10532
Function654,Glycosaminoglycan metabolism,M00078+06,Heparan sulfate degradation,K01205
Function655,Glycosaminoglycan metabolism,M00078+07,Heparan sulfate degradation,K01195
Function656,Glycosaminoglycan metabolism,M00078+08,Heparan sulfate degradation,K01137
Function657,Glycosaminoglycan metabolism,M00079+01,Keratan sulfate degradation,K01132
Function658,Glycosaminoglycan metabolism,M00079+02,Keratan sulfate degradation,K12309
Function659,Glycosaminoglycan metabolism,M00079+03,Keratan sulfate degradation,K01137
Function660,Glycosaminoglycan metabolism,M00079+04,Keratan sulfate degradation,K12373
Function661,Other carbohydrate metabolism,M00081+01,Pectin degradation,K01051
Function662,Other carbohydrate metabolism,M00081+02,Pectin degradation,K01184
Function663,Other carbohydrate metabolism,M00081+03,Pectin degradation,K01213
Function664,Fatty acid metabolism,M00082+01,"Fatty acid biosynthesis, initiation",(K11262 or (K02160 and K01961 or K11263) and (K01962 and K01963 or K18472))
Function665,Fatty acid metabolism,M00082+02,"Fatty acid biosynthesis, initiation",(K00665 or K00667 and K00668 or K11533 or (K00645 and (K00648 or K18473)))
Function666,Fatty acid metabolism,M00083+01,"Fatty acid biosynthesis, elongation",K00665 or (K00667 and K00668) or K11533 or ((K00647 or K09458) and K00059 and (K02372 or K01716 or K16363) and (K00208 or K02371 or K10780 or K00209))
Function667,Fatty acid metabolism,M00085+01,Fatty acid elongation in mitochondria,(K07508 or K07509)
Function668,Fatty acid metabolism,M00085+02,Fatty acid elongation in mitochondria,(K00022 and K07511 or K07515)
Function669,Fatty acid metabolism,M00085+03,Fatty acid elongation in mitochondria,K07512
Function670,Fatty acid metabolism,M00086+01,"beta-Oxidation, acyl-CoA synthesis",K01897 or K15013
Function671,Fatty acid metabolism,M00087+01,beta-Oxidation,(K00232 or K00249 or K00255 or K06445 or K09479)
Function672,Fatty acid metabolism,M00087+02,beta-Oxidation,(((K01692 or K07511 or K13767) and (K00022 or K07516)) or K01825 or K01782 or K07514 or K07515 or K10527)
Function673,Fatty acid metabolism,M00087+03,beta-Oxidation,(K00632 or K07508 or K07509 or K07513)
Function674,Lipid metabolism,M00088+01,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",K00626
Function675,Lipid metabolism,M00088+02,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",K01641
Function676,Lipid metabolism,M00088+03,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",K01640
Function677,Lipid metabolism,M00089+01,Triacylglycerol biosynthesis,(K00629 or K13506 or K13507 or K00630 or K13508)
Function678,Lipid metabolism,M00089+02,Triacylglycerol biosynthesis,(K00655 or K13509 or K13523 or K19007 or K13513 or K13517 or K13519 or K14674 or K22831)
Function679,Lipid metabolism,M00089+03,Triacylglycerol biosynthesis,(K01080 or K15728 or K18693)
Function680,Lipid metabolism,M00089+04,Triacylglycerol biosynthesis,(K11155 or K11160 or K14456 or K22848 or K22849)
Function681,Lipid metabolism,M00090+01,"Phosphatidylcholine (PC) biosynthesis, choline => PC",(K00866 or K14156)
Function682,Lipid metabolism,M00090+02,"Phosphatidylcholine (PC) biosynthesis, choline => PC",K00968
Function683,Lipid metabolism,M00090+03,"Phosphatidylcholine (PC) biosynthesis, choline => PC",(K00994 or K13644)
Function684,Lipid metabolism,M00091+01,"Phosphatidylcholine (PC) biosynthesis, PE => PC",K00551 or (K16369 and K00550) or K00570
Function685,Lipid metabolism,M00092+01,"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",(K00894 or K14156)
Function686,Lipid metabolism,M00092+02,"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",K00967
Function687,Lipid metabolism,M00092+03,"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",(K00993 or K13644)
Function688,Lipid metabolism,M00093+01,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",K00981
Function689,Lipid metabolism,M00093+02,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",(K00998 or K17103)
Function690,Lipid metabolism,M00093+03,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",K01613
Function691,Lipid metabolism,M00094+01,Ceramide biosynthesis,K00654
Function692,Lipid metabolism,M00094+02,Ceramide biosynthesis,K04708
Function693,Lipid metabolism,M00094+03,Ceramide biosynthesis,(K04709 or K04710 or K24621 or K24622 or K23727)
Function694,Lipid metabolism,M00094+04,Ceramide biosynthesis,K04712
Function695,Terpenoid backbone biosynthesis,M00095+01,"C5 isoprenoid biosynthesis, mevalonate pathway",K00626
Function696,Terpenoid backbone biosynthesis,M00095+02,"C5 isoprenoid biosynthesis, mevalonate pathway",K01641
Function697,Terpenoid backbone biosynthesis,M00095+03,"C5 isoprenoid biosynthesis, mevalonate pathway",K00021
Function698,Terpenoid backbone biosynthesis,M00095+04,"C5 isoprenoid biosynthesis, mevalonate pathway",K00869
Function699,Terpenoid backbone biosynthesis,M00095+05,"C5 isoprenoid biosynthesis, mevalonate pathway",(K00938 or K13273)
Function700,Terpenoid backbone biosynthesis,M00095+06,"C5 isoprenoid biosynthesis, mevalonate pathway",K01597
Function701,Terpenoid backbone biosynthesis,M00095+07,"C5 isoprenoid biosynthesis, mevalonate pathway",K01823
Function702,Terpenoid backbone biosynthesis,M00096+01,"C5 isoprenoid biosynthesis, non-mevalonate pathway",K01662
Function703,Terpenoid backbone biosynthesis,M00096+02,"C5 isoprenoid biosynthesis, non-mevalonate pathway",K00099
Function704,Terpenoid backbone biosynthesis,M00096+03,"C5 isoprenoid biosynthesis, non-mevalonate pathway",(K00991 or K12506)
Function705,Terpenoid backbone biosynthesis,M00096+04,"C5 isoprenoid biosynthesis, non-mevalonate pathway",K00919
Function706,Terpenoid backbone biosynthesis,M00096+05,"C5 isoprenoid biosynthesis, non-mevalonate pathway",(K01770 or K12506)
Function707,Terpenoid backbone biosynthesis,M00096+06,"C5 isoprenoid biosynthesis, non-mevalonate pathway",K03526
Function708,Terpenoid backbone biosynthesis,M00096+07,"C5 isoprenoid biosynthesis, non-mevalonate pathway",K03527
Function709,Terpenoid backbone biosynthesis,M00096+08,"C5 isoprenoid biosynthesis, non-mevalonate pathway",K01823
Function710,Plant terpenoid biosynthesis,M00097+01,"beta-Carotene biosynthesis, GGAP => beta-carotene",K02291
Function711,Plant terpenoid biosynthesis,M00097+02,"beta-Carotene biosynthesis, GGAP => beta-carotene",K02293
Function712,Plant terpenoid biosynthesis,M00097+03,"beta-Carotene biosynthesis, GGAP => beta-carotene",K15744
Function713,Plant terpenoid biosynthesis,M00097+04,"beta-Carotene biosynthesis, GGAP => beta-carotene",K00514
Function714,Plant terpenoid biosynthesis,M00097+05,"beta-Carotene biosynthesis, GGAP => beta-carotene",K09835
Function715,Plant terpenoid biosynthesis,M00097+06,"beta-Carotene biosynthesis, GGAP => beta-carotene",K06443
Function716,Lipid metabolism,M00098+01,Acylglycerol degradation,(K01046 or K12298 or K16816 or K13534 or K14073 or K14074 or K14075 or K14076 or K22283 or K14452 or K22284 or K14674 or K14675 or K17900)
